date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2017-07-06,8,30,15,11,14,8,Thursday,15.6,158
2017-07-09,37,20,42,7,26,10,Sunday,26.4,159
2017-07-13,15,42,16,4,7,13,Thursday,16.8,160
2017-07-16,45,34,21,35,10,2,Sunday,29.0,161
2017-07-20,15,27,21,6,14,8,Thursday,16.6,162
2017-07-23,6,39,37,16,20,16,Sunday,23.6,163
2017-07-27,13,39,34,30,5,18,Thursday,24.2,164
2017-07-30,4,15,19,33,38,16,Sunday,21.8,165
2017-08-03,41,32,22,26,39,18,Thursday,32.0,166
2017-08-06,21,32,4,40,23,9,Sunday,24.0,167
2017-08-06,38,42,43,8,19,13,Sunday,30.0,168
2017-08-10,33,19,13,39,34,11,Thursday,27.6,169
2017-08-13,14,19,40,31,6,10,Sunday,22.0,170
2017-08-17,15,45,8,17,14,18,Thursday,19.8,171
2017-08-20,23,14,38,40,44,18,Sunday,31.8,172
2017-08-24,11,14,43,4,7,19,Thursday,15.8,173
2017-08-27,15,39,24,29,18,5,Sunday,25.0,174
2017-08-31,35,8,36,6,16,12,Thursday,20.2,175
2017-09-03,36,20,12,31,45,5,Sunday,28.8,176
2017-09-07,20,12,40,31,10,18,Thursday,22.6,177
2017-09-10,16,31,10,22,40,9,Sunday,23.8,178
2017-09-17,20,39,40,29,36,16,Sunday,32.8,179
2017-09-17,27,20,35,5,13,17,Sunday,20.0,180
2017-09-21,19,21,27,14,18,4,Thursday,19.8,181
2017-09-24,4,35,24,41,25,5,Sunday,25.8,182
2017-09-28,17,1,4,8,44,19,Thursday,14.8,183
2017-10-01,32,30,33,28,21,13,Sunday,28.8,184
2017-10-05,2,12,31,10,29,6,Thursday,16.8,185
2017-10-08,40,3,5,4,29,8,Sunday,16.2,186
2017-10-12,32,43,42,3,37,8,Thursday,31.4,187
2017-10-15,32,21,22,24,42,2,Sunday,28.2,188
2017-10-19,16,19,3,25,6,12,Thursday,13.8,189
2017-10-22,42,19,11,32,4,8,Sunday,21.6,190
2017-10-26,21,43,37,1,36,9,Thursday,27.6,191
2017-10-29,21,41,27,42,20,10,Sunday,30.2,192
2017-11-02,6,38,23,20,10,9,Thursday,19.4,193
2017-11-05,29,19,3,5,10,14,Sunday,13.2,194
2017-11-09,29,8,15,20,1,7,Thursday,14.6,195
2017-11-12,21,29,7,40,2,10,Sunday,19.8,196
2017-11-16,22,9,45,10,20,15,Thursday,21.2,197
2017-11-19,16,17,33,11,22,6,Sunday,19.8,198
2017-11-23,43,41,17,18,29,1,Thursday,29.6,199
2017-11-26,12,6,33,7,35,5,Sunday,18.6,200
2017-11-30,7,45,22,9,21,11,Thursday,20.8,201
2017-12-03,5,44,19,21,7,14,Sunday,19.2,202
2017-12-07,9,29,31,12,10,11,Thursday,18.2,203
2017-12-10,27,30,3,22,44,10,Sunday,25.2,204
2017-12-14,5,21,8,42,33,17,Thursday,21.8,205
2017-12-17,43,21,3,8,13,6,Sunday,17.6,206
2017-12-21,36,29,35,9,30,14,Thursday,27.8,207
2017-12-24,39,31,33,42,27,20,Sunday,34.4,208
2017-12-31,41,14,7,31,37,2,Sunday,26.0,209
2017-12-31,44,29,8,14,17,3,Sunday,22.4,210
2018-01-04,33,12,42,7,30,8,Thursday,24.8,211
2018-01-07,42,8,1,41,2,19,Sunday,18.8,212
2018-01-11,22,20,12,42,15,12,Thursday,22.2,213
2018-01-14,29,40,43,13,35,9,Sunday,32.0,214
2018-01-18,13,24,40,35,34,20,Thursday,29.2,215
2018-01-21,43,9,16,36,32,8,Sunday,27.2,216
2018-01-25,8,12,33,1,38,1,Thursday,18.4,217
2018-01-28,16,28,6,5,32,4,Sunday,17.4,218
2018-02-01,26,34,2,28,11,14,Thursday,20.2,219
2018-02-04,35,16,36,26,39,9,Sunday,30.4,220
2018-02-08,21,41,42,37,44,20,Thursday,37.0,221
2018-02-11,12,33,17,30,2,5,Sunday,18.8,222
2018-02-15,45,44,2,32,10,6,Thursday,26.6,223
2018-02-18,28,12,20,2,35,7,Sunday,19.4,224
2018-02-22,29,19,26,4,35,13,Thursday,22.6,225
2018-02-25,10,37,24,15,25,13,Sunday,22.2,226
